AREA,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,PROPERTY_AGE,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALES_PRICE
karapakkam,abnormal,1,commercial,allpub,paved,A,44,1004,1.0,1.0,3,7600000
anna nagar,abnormal,0,commercial,allpub,gravel,RH,11,1986,2.0,1.0,5,21717770
adyar,abnormal,1,commercial,elo,gravel,RL,20,909,1.0,1.0,3,13159200
velachery,family,0,other,nosewr,paved,I,22,1855,3.0,2.0,5,9630290
karapakkam,abnormal,1,other,allpub,gravel,C,30,1226,1.0,1.0,3,7406250
chrompet,partial,0,commercial,nosewr,noaccess,RH,5,1220,2.0,1.0,4,12394750
chrompet,partial,0,other,allpub,noaccess,RL,28,1167,1.0,1.0,3,8488790
velachery,family,0,commercial,allpub,gravel,RM,10,1847,3.0,2.0,5,16800250
chrompet,adjland,0,other,nosewr,paved,RM,34,771,1.0,1.0,2,8308970
velachery,abnormal,0,other,elo,noaccess,I,15,1635,2.0,1.0,4,8083650
chrompet,adjland,1,commercial,allpub,noaccess,RM,28,1203,2.0,1.0,4,14938000
chrompet,partial,0,other,nosewr,gravel,RM,37,1054,1.0,1.0,3,9449730
chrompet,family,0,other,nosewr,noaccess,RL,19,1196,1.0,1.0,3,8774370
adyar,partial,1,other,nosewr,paved,RH,26,1056,1.0,1.0,3,9386490
velachery,family,0,commercial,nosewr,paved,RM,54,1865,3.0,2.0,5,15499680
velachery,family,0,commercial,nosewr,gravel,RH,9,1868,3.0,2.0,5,15714080
karapakkam,normalsale,1,house,elo,gravel,I,18,1639,2.0,2.0,4,8656000
chrompet,adjland,1,commercial,allpub,noaccess,RL,36,796,1.0,1.0,2,10912550
adyar,normalsale,1,other,allpub,paved,A,30,1136,1.0,1.0,3,8287550
anna nagar,family,1,commercial,elo,paved,RL,42,1902,2.0,1.0,5,21203240
chrompet,abnormal,1,other,nosewr,paved,RM,4,1069,1.0,1.0,3,10905530
chrompet,abnormal,1,other,elo,paved,RL,22,931,1.0,1.0,3,9185970
kk nagar,partial,0,other,nosewr,gravel,RH,10,2010,3.0,2.0,5,10925400
chrompet,abnormal,0,other,nosewr,gravel,RL,16,1074,1.0,1.0,3,9627380
t nagar,adjland,0,other,nosewr,noaccess,RH,5,1972,2.0,1.0,5,13922760
t nagar,family,0,house,nosewr,gravel,RM,34,1685,1.0,1.0,4,12601080
adyar,family,1,commercial,elo,paved,RH,30,1130,1.0,1.0,3,13383350
karapakkam,normalsale,1,other,nosewr,gravel,C,7,1301,1.0,1.0,3,7939625
adyar,adjland,1,house,elo,gravel,RL,39,730,1.0,1.0,2,8848285
t nagar,family,0,house,nosewr,paved,RH,35,1806,2.0,1.0,5,11338200
anna nagar,adjland,0,house,elo,noaccess,RL,9,1981,2.0,1.0,5,12872430
adyar,normalsale,0,other,nosewr,gravel,RL,10,868,1.0,1.0,3,9042050
t nagar,adjland,1,other,elo,paved,RM,20,1721,1.0,1.0,4,14874380
velachery,adjland,1,other,allpub,gravel,A,19,1755,2.0,1.0,4,10222380
anna nagar,family,0,other,nosewr,gravel,RH,6,1709,1.0,1.0,4,12928590
kk nagar,adjland,1,commercial,nosewr,gravel,RH,21,2114,3.0,2.0,5,17564820
karapakkam,normalsale,0,house,allpub,paved,A,27,1226,1.0,1.0,3,4971250
velachery,family,1,other,nosewr,paved,C,13,1648,2.0,1.0,4,9170660
chrompet,adjland,1,other,nosewr,gravel,RM,26,856,1.0,1.0,3,10383420
adyar,adjland,0,commercial,elo,noaccess,RM,40,904,1.0,1.0,3,11601400
chrompet,normalsale,0,other,allpub,noaccess,RH,36,1198,1.0,1.0,3,8249260
karapakkam,adjland,0,commercial,allpub,paved,A,18,931,1.0,1.0,3,6944500
karapakkam,adjland,1,house,allpub,paved,RH,48,1290,1.0,1.0,3,7745000
karapakkam,abnormal,1,house,elo,gravel,RH,46,507,1.0,1.0,2,5728000
kk nagar,abnormal,0,commercial,nosewr,paved,RL,16,2492,4.0,2.0,6,18725520
karapakkam,partial,0,house,allpub,noaccess,C,29,851,1.0,1.0,2,3572250
t nagar,abnormal,1,other,elo,gravel,RM,21,1882,2.0,1.0,5,16051580
anna nagar,normalsale,1,commercial,allpub,gravel,RH,11,1710,1.0,1.0,4,20215970
karapakkam,adjland,0,house,elo,gravel,RL,28,1412,2.0,2.0,4,8379000
adyar,normalsale,0,house,nosewr,noaccess,C,9,779,1.0,1.0,2,5290635
t nagar,abnormal,0,other,allpub,gravel,RH,34,1655,1.0,1.0,4,12548930
karapakkam,adjland,0,house,allpub,paved,RH,49,940,1.0,1.0,3,5857750
kk nagar,partial,1,house,nosewr,paved,RM,5,1667,2.0,1.0,4,10729700
kk nagar,family,1,commercial,nosewr,paved,RM,9,1926,3.0,2.0,5,17006780
adyar,partial,1,other,elo,noaccess,C,30,718,1.0,1.0,2,5570050
