AREA,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,PROPERTY_AGE,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALES_PRICE
chrompet,partial,0,commercial,nosewr,paved,RH,9,886,153,1.0,1.0,3,10354350
chrompet,family,1,house,elo,paved,RH,18,857,58,1.0,1.0,3,7738700
kk nagar,family,0,other,nosewr,gravel,RL,8,1778,94,3.0,2.0,5,10998320
kk nagar,adjland,1,house,allpub,gravel,RH,23,1831,95,3.0,2.0,5,11035260
t nagar,adjland,0,house,nosewr,paved,RH,19,1596,154,1.0,1.0,4,11262600
anna nagar,partial,1,other,nosewr,noaccess,RH,36,1776,41,1.0,1.0,4,12373200
karapakkam,family,0,house,allpub,gravel,I,34,561,115,1.0,1.0,2,4703750
chrompet,abnormal,0,other,elo,noaccess,RM,33,785,83,1.0,1.0,2,7335200
chrompet,adjland,0,other,nosewr,gravel,RH,24,1257,183,2.0,1.0,4,9946290
adyar,abnormal,1,house,allpub,gravel,RL,11,765,43,1.0,1.0,2,9302665
adyar,abnormal,1,house,allpub,noaccess,RM,38,1115,81,1.0,1.0,3,9795370
velachery,adjland,0,other,elo,gravel,RH,7,1811,47,3.0,2.0,5,11066740
kk nagar,normalsale,1,commercial,allpub,paved,RM,11,1629,111,2.0,1.0,4,15532620
karapakkam,adjland,0,other,nosewr,paved,A,14,826,139,1.0,1.0,2,4646250
chrompet,partial,1,house,nosewr,paved,RM,12,770,181,1.0,1.0,2,8558000
anna nagar,family,0,house,nosewr,paved,RL,12,1897,167,2.0,1.0,5,12624040
t nagar,partial,0,commercial,nosewr,paved,RL,11,1510,144,1.0,1.0,4,17414970
t nagar,abnormal,1,commercial,nosewr,paved,RL,11,1815,23,2.0,1.0,5,21165570
velachery,abnormal,1,commercial,nosewr,noaccess,RL,8,1857,14,3.0,2.0,5,16185010
velachery,normalsale,0,house,nosewr,noaccess,I,54,1502,170,2.0,1.0,4,6307030
chrompet,normalsale,1,other,allpub,gravel,RM,25,1262,139,2.0,1.0,4,12078690
anna nagar,abnormal,0,commercial,elo,noaccess,RM,25,1905,6,2.0,1.0,5,20591900
chrompet,family,1,house,nosewr,paved,RM,12,1037,127,1.0,1.0,3,9966200
karapakkam,adjland,1,house,elo,gravel,A,17,1606,200,2.0,2.0,4,7629750
velachery,adjland,0,other,nosewr,gravel,C,23,1506,180,2.0,1.0,4,8576110
karapakkam,family,0,other,nosewr,paved,RH,35,1213,167,1.0,1.0,3,6628625
anna nagar,normalsale,0,other,allpub,gravel,RM,8,1823,94,2.0,1.0,5,15181250
velachery,partial,1,house,nosewr,paved,RH,6,1609,44,2.0,1.0,4,9588670
adyar,abnormal,0,house,elo,gravel,C,23,1206,63,2.0,2.0,4,7877645
anna nagar,family,0,other,nosewr,noaccess,RL,26,1566,21,1.0,1.0,4,11470100
karapakkam,normalsale,0,house,nosewr,noaccess,A,28,1648,26,2.0,2.0,4,5314000
chrompet,normalsale,0,other,elo,paved,RM,18,858,86,1.0,1.0,3,8617960
t nagar,adjland,1,other,elo,noaccess,RH,29,1843,118,2.0,1.0,5,13613320
chrompet,abnormal,1,other,allpub,gravel,RL,18,1042,178,1.0,1.0,3,10581040
velachery,normalsale,0,other,nosewr,paved,A,49,1669,2,2.0,1.0,4,7193030
kk nagar,abnormal,1,house,nosewr,gravel,RM,10,1326,176,1.0,1.0,3,10260000
kk nagar,normalsale,0,commercial,nosewr,paved,RL,20,2258,52,4.0,2.0,6,17346200
chrompet,family,0,commercial,allpub,noaccess,RL,35,1128,141,1.0,1.0,3,12072650
kk nagar,normalsale,1,house,nosewr,paved,RL,7,1730,2,2.0,1.0,4,10651140
velachery,partial,0,house,nosewr,noaccess,RH,44,1665,91,2.0,1.0,4,7516880
