iter	RMSE
0	3493601.667
1	3196566.929
2	2935731.639
3	2706870.488
4	2503771.786
5	2321971.113
6	2146220.191
7	1996756.737
8	1858474.941
9	1727864.085
10	1617124.878
11	1508260.928
12	1413083.34
13	1329182.541
14	1260721.658
15	1179302.515
16	1107588.307
17	1046165.469
18	993127.5036
19	939443.3874
20	893394.0657
21	846767.399
22	805591.5024
23	768374.5053
24	733262.5075
25	701368.2816
26	669094.5247
27	635678.7713
28	605829.4434
29	580410.5268
30	557901.2612
31	537663.4389
32	522657.0394
33	502157.3975
34	484926.7453
35	465081.1308
36	451773.1369
37	434394.707
38	419608.8957
39	405847.5507
40	392885.694
41	381791.0252
42	370057.5969
43	359895.4466
44	351160.8888
45	343089.804
46	334432.0039
47	326175.7606
48	318988.937
49	311280.7876
50	304559.4082
51	297057.0154
52	289985.996
53	284099.9839
54	278142.6602
55	272236.6216
56	266006.6765
57	261606.6675
58	256538.9592
59	251911.8433
60	247562.7627
61	243636.8813
62	239817.9231
63	236674.8313
64	232111.2477
65	228323.3529
66	224731.9502
67	221108.3628
68	218567.6571
69	214290.2137
70	210881.9926
71	207214.0955
72	203770.4423
73	201200.3861
74	199311.8989
75	196822.6344
76	195075.6772
77	191975.3508
78	189944.0705
79	187551.5889
80	184956.1742
81	183281.3678
82	181323.1687
83	179378.824
84	177236.9789
85	175991.4661
86	174652.1886
87	172748.3345
88	171117.9905
89	170141.7284
90	168926.5363
91	166773.1093
92	164362.6658
93	162442.038
94	161257.1725
95	159165.0882
96	158109.4223
97	156616.5257
98	155287.434
99	154186.5953
