iter	Passed	Remaining
0	3	344
1	6	320
2	9	310
3	12	301
4	15	296
5	19	301
6	22	295
7	25	290
8	28	285
9	31	280
10	34	276
11	37	272
12	40	268
13	43	264
14	46	261
15	49	258
16	52	254
17	55	251
18	58	247
19	61	244
20	64	241
21	67	238
22	70	235
23	73	231
24	76	228
25	79	225
26	82	222
27	85	219
28	88	216
29	91	213
30	94	210
31	97	207
32	100	204
33	103	201
34	106	198
35	110	195
36	113	192
37	116	189
38	119	186
39	122	183
40	125	180
41	128	177
42	132	175
43	135	171
44	138	168
45	141	165
46	145	163
47	148	160
48	151	157
49	154	154
50	157	151
51	160	148
52	163	145
53	166	142
54	170	139
55	173	136
56	176	133
57	179	129
58	182	126
59	185	123
60	188	120
61	191	117
62	194	114
63	197	111
64	201	108
65	204	105
66	207	102
67	210	98
68	213	95
69	216	92
70	219	89
71	222	86
72	225	83
73	228	80
74	231	77
75	234	74
76	237	71
77	240	67
78	243	64
79	247	61
80	250	58
81	253	55
82	256	52
83	259	49
84	262	46
85	265	43
86	268	40
87	271	37
88	274	33
89	278	30
90	281	27
91	284	24
92	287	21
93	290	18
94	293	15
95	297	12
96	300	9
97	303	6
98	306	3
99	309	0
