iter	RMSE
0	3633205.065
1	3472822.653
2	3320867.496
3	3183524.467
4	3048522.89
5	2929535.495
6	2807772.489
7	2698078.266
8	2593252.626
9	2493328.463
10	2400855.557
11	2310461.823
12	2229104.8
13	2144684.963
14	2062808.256
15	1994059.933
16	1924662.495
17	1859014.685
18	1799393.569
19	1742792.332
20	1684618.475
21	1630284.598
22	1579923.216
23	1531649.477
24	1485964.305
25	1445010.341
26	1404248.78
27	1361413.603
28	1323902.547
29	1286537.545
30	1250403.619
31	1216277.69
32	1182913.385
33	1153732.684
34	1125921.128
35	1096431.011
36	1068281.779
37	1042626.251
38	1019058.141
39	993678.4252
40	969480.1544
41	947306.9481
42	926565.7383
43	909203.2258
44	891000.1994
45	872910.7621
46	856243.1005
47	840302.4363
48	821630.3841
49	804380.5651
50	789869.8835
51	774078.4007
52	759269.9509
53	745687.5864
54	731784.9905
55	718707.0456
56	704850.574
57	691367.2157
58	675720.301
59	665129.2229
60	654230.8033
61	643203.148
62	633051.0491
63	623886.8213
64	613275.2972
65	603664.4607
66	593713.9349
67	582854.2102
68	574297.0192
69	566373.8398
70	558495.7413
71	550732.1891
72	543949.8962
73	534359.6288
74	525692.4545
75	519217.6132
76	509902.6342
77	503674.7555
78	495589.763
79	489095.0925
80	483129.7688
81	476581.2893
82	470965.8953
83	464729.1069
84	459630.2466
85	453261.2793
86	447693.3577
87	443153.1334
88	437537.5292
89	430564.932
90	425035.5585
91	420050.3871
92	414431.3201
93	409839.0399
94	405451.1568
95	400803.0536
96	397273.8535
97	392152.167
98	387835.6187
99	382610.6511
100	378037.1584
101	372877.7955
102	368680.1242
103	365473.9928
104	361547.3964
105	357447.8762
106	353409.8968
107	349567.9368
108	346829.858
109	342552.2288
110	338629.3592
111	335459.2102
112	331969.9314
113	329365.1739
114	326088.8348
115	323058.6288
116	320735.837
117	318332.7406
118	315748.1996
119	311863.8052
120	309639.8021
121	307655.5869
122	304998.909
123	302355.0813
124	299934.3606
125	297623.7555
126	294957.3591
127	292825.1543
128	290197.1804
129	288207.1457
130	286402.0106
131	284118.4655
132	282219.8643
133	279743.6337
134	277192.3608
135	274369.4031
136	272419.3837
137	270987.0852
138	268968.9614
139	266607.8096
140	264762.7556
141	262676.285
142	261012.7484
143	259468.9439
144	257586.6774
145	256016.4232
146	254450.0295
147	252808.5541
148	251022.5653
149	249680.2792
150	248582.559
151	246781.6062
152	245109.4181
153	243057.0158
154	241695.2255
155	240110.7669
156	237988.8992
157	236783.261
158	235524.5579
159	233827.1432
160	232681.2171
161	230856.8332
162	229462.8691
163	227442.8671
164	226359.4628
165	225382.3314
166	224466.8887
167	223202.8678
168	221833.3684
169	220118.0869
170	219315.5858
171	217771.6545
172	216114.8727
173	214261.5098
174	213494.5356
175	211873.3133
176	210401.8211
177	209674.6686
178	208135.8947
179	207470.771
180	206638.153
181	205154.151
182	204055.7828
183	203163.4191
184	201737.5653
185	200723.5574
186	199302.2498
187	198115.7587
188	196634.3467
189	195535.751
190	194801.8816
191	193893.4167
192	193072.0831
193	191598.5312
194	190788.6902
195	190199.7974
196	189020.9579
197	187749.3548
198	186844.5738
199	185843.9433
200	185207.3452
201	183859.3023
202	183149.3599
203	182215.2384
204	181529.7241
205	180767.7793
206	179989.6965
207	178942.6592
208	177888.9883
209	177249.4979
210	176573.6611
211	175663.5442
212	175158.6477
213	174451.1083
214	173914.7255
215	173335.6765
216	172749.4439
217	171842.8626
218	170987.872
219	170182.4203
220	169543.9238
221	168933.9418
222	168438.3618
223	167870.9682
224	167042.4752
225	166446.3583
